"teaser-date","teaser-link","teaser-link href","teaser-body"
"30/09/2023","Porsche and TAG Heuer pay tribute to the Carrera Panamericana","https://newsroom.porsche.com/en/2023/products/porsche-718-cayman-gt4-rs-legends-of-panamericana-sonderwunsch-tag-heuer-porsche-latin-america-33949.html","Based on the 718 Cayman GT4 RS, two exceptional cars have been made in collaboration with Porsche Latin America."
"13/07/2023","Optimised for maximum performance on the track","https://newsroom.porsche.com/en/2023/products/porsche-718-cayman-gt4-rs-manthey-kit-nuerburgring-nordschleife-33098.html","Porsche is offering a Manthey Kit for the 718 Cayman GT4 RS that is specially optimised for use on the racing track."
"10/05/2023","Porsche 718 Spyder RS becomes the pinnacle of the mid-engined family","https://newsroom.porsche.com/en/2023/products/porsche-718-spyder-rs-world-premiere-32257.html","Thirty years after the presentation of the Boxster concept car, Porsche is launching the new Porsche 718 Spyder RS."
"02/11/2022","The new Porsche 718 Style Edition models","https://newsroom.porsche.com/en/2022/products/porsche-718-cayman-boxster-style-edition-30223.html","Fresh colours and harmonious contrast packages characterise the new Porsche 718 Style Edition."
"02/02/2022","Powered by synthetic fuels: European presentation of the GT4 RS","https://newsroom.porsche.com/en/2022/products/porsche-718-cayman-gt4-rs-clubsport-synthetic-fuels-gp-ice-race-zell-am-see-27246.html","The Porsche 718 Cayman GT4 RS and its Clubsport variant have caused a stir at the GP Ice Race in Zell am See."
"17/11/2021","The new Porsche 718 Cayman GT4 RS Clubsport","https://newsroom.porsche.com/en/2021/products/porsche-718-cayman-gt4-rs-clubsport-la-auto-show-26461.html","Porsche has revealed the new 718 Cayman GT4 RS Clubsport at the Los Angeles Auto Show."
"17/11/2021","World premiere of the new Porsche 718 Cayman GT4 RS","https://newsroom.porsche.com/en/2021/products/porsche-718-cayman-gt4-rs-la-auto-show-26459.html","The Porsche 718 Cayman GT4 RS is the new flagship model in the 718 family – a driver’s car designed to impress."
"20/10/2021","New Porsche 718 Cayman GT4 RS excels during final testing","https://newsroom.porsche.com/en/2021/products/porsche-new-718-cayman-gt4-rs-final-testing-26114.html","The new top model of the 718 family is well prepared for its world premiere in November."
"13/01/2021","New limited-edition anniversary model: Boxster 25 years","https://newsroom.porsche.com/en/2021/products/porsche-boxster-25-years-premiere-23375.html","Porsche is celebrating the 25th birthday of its roadster family with a special anniversary model: the Boxster 25 years."
"08/09/2020","Porsche dual-clutch transmission now also for flagship 718 models","https://newsroom.porsche.com/en/2020/products/porsche-dual-clutch-transmission-718-22146.html","All Porsche 718 models can now be ordered with the seven-speed Porsche dual-clutch transmission (PDK)."
"04/09/2020","New Guinness World Records™ Title Achievement for Fastest Vehicle Slalom","https://newsroom.porsche.com/en/2020/products/porsche-718-spyder-world-record-fastest-vehicle-slalom-22068.html","Driver Chloe Chambers achieves feat behind the wheel of 2020 Porsche 718 Spyder."
"08/07/2020","Porsche 904 Carrera GTS: The Legend Drives On","https://newsroom.porsche.com/en/2020/sport-lifestyle/porsche-904-carrera-gts-718-boxster-gts-40-rijeka-croatia-christophorus-394-20349.html","The 1963 Porsche 904 Carrera GTS and the latest GTS model of Porsche's mid-engine sports cars meet."