"teaser-category","teaser-date","teaser-link","teaser-link href","teaser-body"
"Products","12/11/2024","Porsche rounds off the second Taycan generation","https://newsroom.porsche.com/en/2024/products/porsche-rounds-off-second-taycan-generation-37832.html","Now three new versions complete the 16-version family."
"Company","12/11/2024","Porsche further expands its cybersecurity measures","https://newsroom.porsche.com/en/2024/company/porsche-expands-cybersecurity-measures-37822.html","Following a successful pilot project in 2023, Porsche is launching a four-week Bug Bounty programme this year."
"Motorsports","11/11/2024","Selection process for the 2025 Porsche Junior enters the hot phase","https://newsroom.porsche.com/en/2024/motorsports/porsche-motorsport-junior-selection-process-37816.html","The 2025 Porsche Junior: Nine candidates are competing for the youth development initiative this year."
"Motorsports","09/11/2024","Jílková and García conclude the testing schedule for the new Porsche 99X Electric","https://newsroom.porsche.com/en/2024/motorsports/porsche-99x-electric-test-jarama-gabriela-jilkova-marta-garcia-37808.html","Gabriela Jílková and Marta García completed the final laps with the new Porsche 99X Electric."
"Motorsports","07/11/2024","The success story of the Porsche 963","https://newsroom.porsche.com/en/ppdb/2024/11/the-success-story-of-the-porsche-963.html","Porsche Penske Motorsport wins a total of seven titles with the Porsche 963."
"Company","07/11/2024","ORIGINALE magazine celebrates 10th issue","https://newsroom.porsche.com/en/2024/company/porsche-classic-magazine-originale-10-37781.html","For the 10th time, the Porsche magazine ORIGINALE invites readers to dive into the fascinating world of classics."
"Scene and Passion","06/11/2024","The future looks bright: Jordan Wallace is making history","https://newsroom.porsche.com/en/2024/scene-passion/porsche-carrera-cup-north-america-jordan-wallace-christophorus-412-37744.html","The 37-year-old is the first African American driver in the Porsche Carrera Cup North America."
"Motorsports","03/11/2024","Porsche works drivers win the FIA World Endurance Championship","https://newsroom.porsche.com/en/2024/motorsports/porsche-fia-wec-round-eight-race-bahrain-37748.html","Kévin Estre, André Lotterer and Laurens Vanthoor have secured the drivers’ world championship crown at the final round."
"Scene and Passion","01/11/2024","Road trip through seven Emirates: From Dubai to Abu Dhabi","https://newsroom.porsche.com/en/2024/scene-passion/porsche-cayenne-s-coupe-dubai-abu-dhabi-christophorus-412-37728.html","A road trip through the United Arab Emirates reveals the captivating contrasts of this modern desert country."
"Products","31/10/2024","Endurance and performance: the Taycan Turbo GT sets new standards","https://newsroom.porsche.com/en/2024/products/porsche-taycan-turbo-gt-weissach-paket-shanghai-37707.html","How reliably can peak performance on the track be reproduced in an electric vehicle?"
"Sustainability","30/10/2024","Sylvia Hofer-Jendros on diversity as part of sustainability at Porsche","https://newsroom.porsche.com/en/2024/sustainability/porsche-perspective-sustainability-leave-no-one-behind-37704.html","Sylvia Hofer-Jendros explains the importance of different perspectives and equal opportunities for a livable future."
"Products","29/10/2024","The new Porsche 911 Carrera T as a coupé or a cabriolet","https://newsroom.porsche.com/en/2024/products/porsche-the-new-911-carrera-t-coupe-and-cabriolet-37691.html","The Porsche 911 Carrera T is about concentrating on the essentials."
"Company","29/10/2024","Innovative Macan-inspired space opens in the heart of Milan","https://newsroom.porsche.com/en/2024/company/porsche-italia-the-flat-by-macan-mailand-37686.html","The Flat by Macan is a unique, inflatable leisure space, created by Porsche Italia and Lux Entertainment."
"Company","25/10/2024","Porsche remains on course and confirms forecast for full year 2024","https://newsroom.porsche.com/en/2024/company/porsche-third-quarter-2024-profit-sales-revenue-37672.html","Porsche AG continued on its planned course in the first nine months of 2024."
"Motorsports","24/10/2024","Expressive appearance: the new Porsche 99X Electric","https://newsroom.porsche.com/en/2024/motorsports/porsche-99x-electric-gen3-evo-world-premiere-37651.html","Porsche has presented its Formula E car for the next two seasons: the new Porsche 99X Electric."
"Products","23/10/2024","Three records on three continents: Taycan Turbo GT with Weissach package","https://newsroom.porsche.com/en/2024/products/porsche-taycan-turbo-gt-weissach-package-lap-record-shanghai-37635.html","After setting records at the Nordschleife and in Laguna Seca, the Taycan Turbo GT has now achieved success in Shanghai."
"Motorsports","22/10/2024","Porsche Penske Motorsport switches up its driver squad for the 2025 season","https://newsroom.porsche.com/en/2024/motorsports/porsche-works-driver-2025-imsa-weathertech-sportscar-championship-fia-world-endurance-championship-wec-37621.html","Porsche is tweaking its Porsche Penske Motorsport works team driver lineup for the 2025 season."
"Company","22/10/2024","Porsche presents a limited-edition espresso machine with La Marzocco","https://newsroom.porsche.com/en/2024/company/porsche-la-marzocco-espresso-machine-37613.html","Italian coffee machine manufacturer La Marzocco is producing an espresso machine in collaboration with Porsche."
"Motorsports","20/10/2024","Fourth title for Larry ten Voorde, first win for Ariel Levi","https://newsroom.porsche.com/en/ppdb/2024/10/fourth-title-for-larry-ten-voorde-first-win-for-ariel-levi.html","The championship titles of the Porsche Sixt Carrera Cup Deutschland have been decided in a turbulent season finale."
"Products","18/10/2024","Double Premiere: The new 911 GT3 and 911 GT3 with Touring package","https://newsroom.porsche.com/en/2024/products/porsche-the-new-911-gt3-double-premiere-37595.html","The 911 GT3 has offered the ultimate combination of racing genes and day-to-day usability since its introduction in 1999."
"Motorsports","18/10/2024","Gabriela Jílková and Marta García to test the Porsche 99X Electric","https://newsroom.porsche.com/en/2024/motorsports/porsche-99x-electric-test-valencia-gabriela-jilkova-marta-garcia-37588.html","Porsche has nominated Gabriela Jílková and Marta García to test drive the Porsche 99X Electric."
"History","16/10/2024","Porsche celebrates the 911 GT3: 25 years of performance and passion","https://newsroom.porsche.com/en/2024/history/porsche-911-gt3-25-years-performance-37556.html","The presentation of the first Porsche 911 GT3 at the 1999 Geneva Motor Show marked the beginning of a new era."
"Products","14/10/2024","718 Spyder RS Panamericana Special: A tribute to a historic victory","https://newsroom.porsche.com/en/2024/products/porsche-latin-america-718-spyder-rs-panamericana-special-550-spyder-37511.html","Porsche honors its automotive heritage with an extraordinary creation: the 718 Spyder RS Panamericana Special."
"Motorsports","13/10/2024","Nine titles for Porsche in the 2024 IMSA Championship","https://newsroom.porsche.com/en/2024/motorsports/porsche-imsa-weathertech-sportscar-championship-race-11-road-atlanta-37516.html","Porsche has left an indelible mark on the 2024 IMSA WeatherTech SportsCar Championship season."
"Company","11/10/2024","Porsche delivers 226,026 vehicles in the first nine months","https://newsroom.porsche.com/en/2024/company/porsche-deliveries-2024-first-nine-months-37502.html","Porsche remains on course in the first nine months of the year."
"Motorsports","10/10/2024","The Porsche 911 GT3 Cup returns to the Norisring in the 2025 season","https://newsroom.porsche.com/en/2024/motorsports/porsche-sixt-carrera-cup-deutschland-race-calendar-2025-37494.html","The one-make cup with the Porsche 911 GT3 Cup will contest 16 races across five countries."
"Products","10/10/2024","Tyre update for a legend: even greater tyre dynamics for the Carrera GT","https://newsroom.porsche.com/en/2024/products/porsche-carrera-gt-michelin-pilot-sport-cup-2-37489.html","Together with its long-term partner Michelin, Porsche has developed a new tyre for the Carrera GT."
"History","09/10/2024","Porsche China celebrates 50 years of Porsche Turbo at the Outdoor Car Retro Festival","https://newsroom.porsche.com/en/2024/history/porsche-china-50-years-turbo-outdoor-car-retro-festival-37459.html","Porsche China marks half a century of a motoring icon with the Porsche Turbo 50th Anniversary Exhibition."
"Scene and Passion","08/10/2024","Luftgekühlt 10 puts Turbo anniversary in the spotlight","https://newsroom.porsche.com/en/2024/scene-passion/porsche-luftgekuehlt-los-angeles-hollywood-2024-37467.html","The tenth staging of the world-leading air-cooled Porsche event celebrates 50 years of the 911 Turbo."
"Company","07/10/2024","How do you produce three drive types on a single assembly line?","https://newsroom.porsche.com/en/2024/company/porsche-leipzig-production-three-drive-types-single-assembly-line-37453.html","To incorporate the all-electric Macan into the production line, the production was reinvented."
"Scene and Passion","04/10/2024","Driving pleasure and community: the Porsche Gipfeltreffen 2024","https://newsroom.porsche.com/en/2024/scene-passion/porsche-community-event-gipfeltreffen-2024-37442.html","Out of the garage and into a state of driving joy: this motto turned the Porsche Gipfeltreffen into a community event."
"Motorsports","02/10/2024","Porsche e-Performance Days Showcase Electromobility Excellence at Silesia Ring","https://newsroom.porsche.com/en/2024/motorsports/porsche-gt4-e-performance-days-poland-37436.html","28 journalists had the chance to get up close with Porsche’s latest electric models and concepts."
"Company","01/10/2024","Porsche Taiwan marks five years of 'Dream Together’","https://newsroom.porsche.com/en/2024/company/porsche-taiwan-five-years-dreams-together-37415.html","Porsche Taiwan celebrates a significant milestone with its ‘Dream Together’ Programme."
"Company","01/10/2024","International growth: MHP with new location in Mexico","https://newsroom.porsche.com/en/2024/company/porsche-mhp-new-location-mexico-37431.html","The management and IT consultancy MHP sets a significant milestone for future international growth."
"Motorsports","29/09/2024","First Carrera Cup Deutschland win for Dutch rookie Flynt Schuring","https://newsroom.porsche.com/en/ppdb/2024/09/first-carrera-cup-deutschland-win-for-dutch-rookie-flynt-schuring.html","The thrilling duel between Flynt Schuring and Harry King dominated Sunday’s race."
"Scene and Passion","27/09/2024","Danish oasis of calm: the Nordic Barnhouse Project by Bruno Jakobsen","https://newsroom.porsche.com/en/2024/scene-passion/porsche-bruno-jakobsen-nordic-barnhouse-project-37400.html","Designer and architect Bruno Jacobsen has created a dream home in his native Denmark."
"Company","26/09/2024","Porsche Cars Canada announces Trevor Arthur as its new President and CEO","https://newsroom.porsche.com/en/2024/company/porsche-cars-canada-trevor-arthur-president-ceo-37412.html","Porsche Cars Canada, Ltd. (PCL) announced the appointment of Trevor Arthur as its new Chief Executive Officer."
"History","25/09/2024","Fascination Turbo: Personal memories from the Porsche experts","https://newsroom.porsche.com/en/2024/history/porsche-turbo-personal-memories-37378.html","Winning streaks and record laps – everyone who has experienced Porsche turbo technology has their own story."
"Innovation","24/09/2024","Who is closer to reality: Vehicle developers or gamers?","https://newsroom.porsche.com/en/2024/innovation/porsche-engineering-vehicle-developers-gamer-simulationen-37377.html","Gamers and automotive developers want to transfer reality into the virtual world in as much detail as possible."
"Motorsports","23/09/2024","Porsche heads to IMSA finale with a healthy points lead","https://newsroom.porsche.com/en/2024/motorsports/porsche-imsa-weathertech-sportscar-championship-race-10-indianapolis-37376.html","In the top GTP category, Porsche Penske Motorsport again climbed the podium in third place."
"Motorsports","20/09/2024","Nina Braack: “Sim racing strengthens the brand and simulations help in development”","https://newsroom.porsche.com/en/2024/motorsports/porsche-esports-interview-nina-braack-37296.html","Nina Braack, Manager Esports at Porsche Motorsport, talks about video games, the industry and the sport."
"Company","20/09/2024","New CEO for Porsche Korea","https://newsroom.porsche.com/en/2024/company/porsche-korea-new-ceo-mathias-busse-37359.html","On 1 October 2024, Mathias Busse, 49, is taking over the position as Chief Executive Officer of Porsche Korea."
"Motorsports","19/09/2024","In top position with the Taycan Turbo GT","https://newsroom.porsche.com/en/2024/motorsports/porsche-taycan-turbo-gt-formula-e-safety-car-bruno-correia-37345.html","The Taycan Turbo GT has been the new safety car in Formula E since May 2024."
"Scene and Passion","18/09/2024","Porsche Turbo and possibly the greatest driving road in the world","https://newsroom.porsche.com/en/2024/scene-passion/porsche-turbo-transfagarasan-highway-romania-37323.html","Fifty years of Turbo and 50 years since the opening of the Transfăgărășan Highway."
"History","17/09/2024","Tartan fabric for the 911 Turbo: A pattern with a history","https://newsroom.porsche.com/en/2024/history/porsche-turbo-tartan-fabric-fabric-with.history-37310.html","Exactly 50 years ago, three tartans could be found on the options list exclusively for the Porsche 911 Turbo."
"History","16/09/2024","50 years on the race track: the Porsche Track Experience","https://newsroom.porsche.com/en/2024/history/porsche-track-experience-50-years-37281.html","Porsche takes driver development, technical expertise, and racetrack adventure and turns them into unique experiences."
"Motorsports","15/09/2024","Porsche Penske Motorsport works team wins the WEC race in Fuji","https://newsroom.porsche.com/en/2024/motorsports/porsche-fia-world-endurance-championship-wec-race-7-fuji-37298.html","Porsche Penske Motorsport has claimed its second victory in this season’s FIA WEC with the Porsche 963."
"Scene and Passion","13/09/2024","Exceptional player Shohei Ohtani: From the countryside to Hollywood","https://newsroom.porsche.com/en/2024/scene-passion/porsche-shohei-ohtani-taycan-turbo-s-baseball-37279.html","US American Major League Baseball hasn’t seen another player like Shohei Ohtani of Japan in nearly a hundred years."
"Company","12/09/2024","“The Art of Dreams” showcases Taycan Turbo K-Edition","https://newsroom.porsche.com/en/2024/company/porsche-the-art-of-dreams-seoul-taycan-turbo-k-edition-37275.html","The seventh Art of Dreams focuses on the Taycan Turbo K-Edition."
"Scene and Passion","11/09/2024","Copenhagen colours up with Luftgekühlt","https://newsroom.porsche.com/en/2024/scene-passion/porsche-event-luftgekuehlt-copenhagen-37270.html","Catching up with the cars and people as Luftgekühlt rolls into Scandinavia for the first time."
"Company","10/09/2024","Management changes at Porsche Financial Services and Porsche Switzerland","https://newsroom.porsche.com/en/2024/company/porsche-financial-services-switzerland-management-changes-37245.html","Changes in the management of Porsche's sales organisation."
"Innovation","10/09/2024","Secure Software: Putting code to the test","https://newsroom.porsche.com/en/2024/innovation/porsche-engineering-software-error-detection-37230.html","Software plays a key role in modern life, but also in vehicles. OEMs and suppliers use proven methods to identify errors."
"Sustainability","09/09/2024","""Changes begin with oneself"" – Porsche as a responsible Partner to Society","https://newsroom.porsche.com/en/2024/sustainability/porsche-perspectives-on-sustainability-responsibility-partner-to-society-37232.html","Philipp Metz, sustainability strategy field lead of ""Partner to Society"", explains how Porsche aims to address these issues."
"Motorsports","08/09/2024","Janne Stiak crowned youngest winner in Carrera Cup Deutschland history","https://newsroom.porsche.com/en/ppdb/2024/09/theo-oeverhaus-celebrates-maiden-victory-in-the-german-carrera-cup.html","With his victory at the Sachsenring, Janne Stiak has become the youngest winner in the history of the one-make cup."
"History","06/09/2024","First Lady: Louise Piëch and her 911 Turbo “No. 1“","https://newsroom.porsche.com/en/2024/history/porsche-louise-piech-911-turbo-no-1-36900.html","The first series production 911 with a turbo engine was destined to be a birthday present for Louise Piëch."
"Products","05/09/2024","Inspired by the precious gemstone jade: Taycan Turbo S Celestial Jade","https://newsroom.porsche.com/en/2024/products/porsche-taycan-turbo-s-celestial-jade-one-off-sonderwunsch-37203.html","Together with Porsche Asia Pacific, the Sonderwunsch experts have created an extraordinary Taycan Turbo S."
"Motorsports","05/09/2024","Title duel between Larry ten Voorde and Harry King enters the next round","https://newsroom.porsche.com/en/ppdb/2024/09/title-duel-between-larry-ten-voorde-and-harry-king-enters-the-next-round.html","At the sixth round of the PSCCD, Larry ten Voorde can take the next step towards claiming his fourth title."
"Company","04/09/2024","Porsche and Pantone present the exclusive colour Turbonite","https://newsroom.porsche.com/en/2024/company/porsche-pantone-fashion-color-trend-report-turbonite-37193.html","Since the end of 2023, Porsche has been sharpening the look of its Turbo derivatives with this elegant metallic grey tone."
"History","04/09/2024","The turbocharger principle: a revolution in engine construction","https://newsroom.porsche.com/en/2024/history/porsche-turbo-technology-engine-construction-vision-christophorus-411-36786.html","Strict confidentiality was required when Porsche was researching turbo technology for racing use."
"Scene and Passion","03/09/2024","Meeting place for the Porsche community: Curvistan arrives in Bangkok","https://newsroom.porsche.com/en/2024/scene-passion/porsche-curvistan-stefan-bogner-bangkok-37160.html","Curvistan has announced its grand opening at its new location in central Bangkok."
"Motorsports","02/09/2024","Porsche Penske Motorsport shows fighting spirit in Texas","https://newsroom.porsche.com/en/2024/motorsports/porsche-fia-world-endurance-championship-wec-race-6-austin-37165.html","Both Porsche 963 fielded by the works team finished in the points at the USA round of the FIA WEC."
"Motorsports","01/09/2024","Maiden win for Porsche Junior Alessandro Ghiretti, title for Larry ten Voorde","https://newsroom.porsche.com/en/2024/motorsports/porsche-mobil-1-supercup-pmsc-race-8-monza-37180.html","Porsche Junior Alessandro Ghiretti celebrated his maiden victory in the Porsche Mobil 1 Supercup at the season finale."
"History","30/08/2024","She is known as the queen of Le Mans: Anny-Charlotte Verney","https://newsroom.porsche.com/en/2024/history/porsche-anny-charlotte-verney-christophorus-411-37161.html","No woman has competed in the legendary 24 Hours of Le Mans more than Anny-Charlotte Verney."
"Scene and Passion","29/08/2024","Welcome to a new adventure at Camp 911 Namibia","https://newsroom.porsche.com/en/2024/scene-passion/porsche-travel-experience-namibia-911-dakar-36409.html","Before guests set off on gravel roads in their 911 Dakar, an on-site team will clarify the final details."
"Company","27/08/2024","Porsche Design and Ananda Development debut Asia's first Porsche Design Tower in Bangkok","https://newsroom.porsche.com/en/2024/company/porsche-design-tower-bangkok-ananda-development-37143.html","The exclusive luxury residence is located on one of the most prestigious addresses in Bangkok."
"Company","26/08/2024","Five new Porsche NOW locations open in Canadian metropolitan areas","https://newsroom.porsche.com/en/2024/company/porsche-now-locations-canada-37149.html","Porsche Cars Canada, Ltd. is pleased to announce the opening of five Porsche NOW locations."
"Motorsports","25/08/2024","Despite Larry ten Voorde’s fifth win: The finale will decide the title","https://newsroom.porsche.com/en/2024/motorsports/porsche-mobil-1-supercup-pmsc-race-7-zandvoort-37123.html","Larry ten Voorde took a big step towards his third title in the Porsche Mobil 1 Supercup with a victory in Zandvoort."
"Products","23/08/2024","Inspired by Korean Culture: the limited Taycan Turbo K-Edition","https://newsroom.porsche.com/en/2024/products/porsche-taycan-turbo-limited-k-edition-korea-sonderwunsch-37135.html","To mark the 10th anniversary of Porsche Korea, Porsche is launching a unique limited-edition Taycan Turbo K-Edition."
"Scene and Passion","22/08/2024","Limited Sneaker Edition as a Tribute to the 911 Turbo","https://newsroom.porsche.com/en/2024/scene-passion/porsche-50-years-911-turbo-sneaker-puma-limited-edition-37122.html","Porsche is celebrating the 50th anniversary of the first 911 Turbo with a special highlight for all Porsche enthusiasts."
"Company","21/08/2024","Dive into the world of Overwatch 2® at Gamescom with Porsche","https://newsroom.porsche.com/en/2024/company/porsche-gamescom-overwatch-2-macan-37124.html","Gamescom will surely once again be the biggest get-together for the worldwide gaming community."
"Scene and Passion","21/08/2024","Symbiosis of Passions: Medical doctor and racing driver","https://newsroom.porsche.com/en/2024/scene-passion/porsche-fred-poordad-918-spyder-carrera-gt-christophorus-411-37112.html","Fred Poordad is a doctor out of passion. The American is an expert of global renown in the field of liver research."
"Scene and Passion","20/08/2024","On the trail in a Panamera from Leipzig to Zell am See","https://newsroom.porsche.com/en/2024/scene-passion/porsche-panamera-turbo-e-hybrid-leipzig-zell-am-see-christophorus-411-37103.html","On the trail of Porsche, we visit places that are special in the history of the family and the company."
"Motorsports","19/08/2024","Porsche’s sim racing works team competes for the Esports World Cup","https://newsroom.porsche.com/en/2024/motorsports/porsche-coanda-esports-racing-team-esports-world-cup-37098.html","The Porsche Coanda Esports Racing Team will be competing in the Esports World Cup (EWC) from next Thursday."
"Motorsports","18/08/2024","Maiden win for Alexander Tauscher in the 400th Carrera Cup race","https://newsroom.porsche.com/en/2024/motorsports/porsche-sixt-carrera-cup-deutschland-races-9-and-10-37071.html","Proton Huber Competition celebrated a one-two victory in the 400th race of the Carrera Cup Deutschland."
"Company","17/08/2024","Porsche and Varta deepen strategic partnership","https://newsroom.porsche.com/en/2024/company/porsche-varta-deepen-strategic-partnership-37095.html","Porsche AG and Varta AG are planning a comprehensive deepening of their existing strategic partnership."
"Products","16/08/2024","911 Speedster built as a Sonderwunsch Factory One-Off","https://newsroom.porsche.com/en/2024/history/porsche-911-speedster-sonderwunsch-luca-trazzi-37041.html","Porsche enthusiast, designer and Speedster collector Luca Trazzi made his dream of a 911 Speedster come true."
"Products","16/08/2024","Unique anniversary model: The Porsche 911 Turbo 50 Years","https://newsroom.porsche.com/en/2024/products/porsche-911-turbo-50-years-anniversary-model-premiere-37078.html","To mark the 50th anniversary of the 911 Turbo, Porsche is launching an exclusive anniversary model."
"History","15/08/2024","Charging a Term: from the technology to the “Turbo-look”","https://newsroom.porsche.com/en/2024/history/dossier-turbo-christophorus-411-36901.html","When Porsche unveiled the world’s first production sports car with a turbo engine, the automotive world changed overnight."
"Motorsports","14/08/2024","Swiss-born Nico Müller becomes new Porsche works driver","https://newsroom.porsche.com/en/2024/motorsports/porsche-99x-electric-gen3-abb-fia-formula-e-world-championship-2024-works-driver-nico-mueller-37064.html","In the upcoming eleventh season, Nico Müller will line up for Andretti Formula E."
"Scene and Passion","14/08/2024","The Pearl Necklace: On the road with the Porsche Club Big Island","https://newsroom.porsche.com/en/2024/scene-passion/porsche-club-big-island-hawaii-gunner-mench-37052.html","“Aloha!” This Hawaiian greeting expresses compassion, sympathy, and affection."
"Products","13/08/2024","911 S/T in Dani Blue: when a dream colour finally becomes a reality","https://newsroom.porsche.com/en/2024/products/porsche-911-st-sonderwunsch-paint-to-sample-plus-dani-blue-37050.html","Porsche enthusiast and horse breeder Jorge Carnicero will soon have a new unique specimen in his stable."
"Innovation","12/08/2024","Platform for China: a new control unit for the infotainment system","https://newsroom.porsche.com/en/2024/innovation/porsche-engineering-infotainment-system-37035.html","Digital ecosystems have grown rapidly in China over the last years. They are now part of everyday life."
"Company","09/08/2024","What is good design? A conversation with Michael Mauer to mark his 20th anniversary","https://newsroom.porsche.com/en/2024/company/porsche-michael-mauer-anniversary-design-37028.html","He talks about the redesign of great icons, the importance of design and personal automotive dreams."
"Society","08/08/2024","From dreams to stage: Porsche Korea’s ballet programme ignites dreams","https://newsroom.porsche.com/en/2024/sports-society/porsche-korea-turbo-for-dreams-37032.html","Porsche Korea has celebrated the successful culmination of the 'Porsche Turbo for Dreams - Ballet' programme."
"Scene and Passion","07/08/2024","Big Wave Arena - In Nazaré With Sebastian Steudtner","https://newsroom.porsche.com/en/2024/scene-passion/porsche-sebastian-steudtner-big-wave-arena-nazare-portugal-christophorus-410-35991.html","People from all over the world make the pilgrimage to Nazaré to witness waves exceeding 25 meters in height."
"Innovation","06/08/2024","How used Taycan batteries became an energy storage system for the Leipzig plant","https://newsroom.porsche.com/en/2024/innovation/porsche-plant-leipzig-taycan-batteries-energy-storage-system-37011.html","It’s the size of almost two basketball courts and consists of 4,400 battery modules: the new battery storage system."
"Motorsports","05/08/2024","Porsche Penske Motorsport celebrates double victory at Road America","https://newsroom.porsche.com/en/2024/motorsports/porsche-imsa-weathertech-sportscar-championship-race-8-road-america-36948.html","The Porsche 963 driven by Nick Tandy and Mathieu Jaminet crossed the finish line ahead of the sister car."
"Products","02/08/2024","The new Porsche Canopy Tent: discover freedom, adventure and nature","https://newsroom.porsche.com/en/2024/products/porsche-canopy-tent-tequipment-36956.html","For the past two years, the Porsche Roof Tent has offered camping accommodation with a cult factor."
"Sport","01/08/2024","Angelique Kerber calls it a day on her special career","https://newsroom.porsche.com/en/2024/sports-society/porsche-angelique-kerber-special-career-36992.html","Angelique Kerber bid farewell to the big tennis stage with a memorable three-set match at the Olympic Games in Paris."
"Company","31/07/2024","Porsche founds subsidiary in Poland","https://newsroom.porsche.com/en/2024/company/porsche-founds-subsidiary-in-poland-36958.html","Porsche Polska sp. z o.o will start operations on 1 January 2025."
"Products","31/07/2024","Porsche pays tribute to Swiss racing driver Jo Siffert with modern one-off model","https://newsroom.porsche.com/en/2024/products/porsche-schweiz-jo-siffert-911-gt3-rs-sonderwunsch-36965.html","Porsche is paying tribute to the late Swiss racing driver while also commemorating the first victory of the legendary 917."
"History","30/07/2024","New special exhibition on ‘Beyond Performance. 50 Years of Porsche Turbo’","https://newsroom.porsche.com/en/2024/history/porsche-museum-special-exhibition-beyond-performance-50-years-porsche-turbo-36970.html","On 30 July, the new ‘Beyond Performance. 50 years of Porsche Turbo’ special exhibition opens."
"Motorsports","30/07/2024","Porsche reaches the high point in its formula racing history so far","https://newsroom.porsche.com/en/2024/motorsports/porsche-99x-electric-gen3-abb-fia-formula-e-world-championship-2024-36955.html","On 21 July in London, Pascal Wehrlein won the second major title for the highly efficient Porsche 99X Electric."
"Scene and Passion","29/07/2024","Champions together: driving with a Taycan to Formula E","https://newsroom.porsche.com/en/2024/scene-passion/porsche-taycan-roadtrip-london-formula-e-36943.html","A road trip with the Porsche Taycan to the Formula E finale showcases electric peak performance."
"Motorsports","28/07/2024","Marvin Klein’s first win of the season brings the top of the table closer together","https://newsroom.porsche.com/en/2024/motorsports/porsche-mobil-1-supercup-pmsc-race-6-spa-36945.html","Marvin Klein has won the turbulent sixth round of the Porsche Mobil 1 Supercup at Spa-Francorchamps."
"Scene and Passion","26/07/2024","The unique Porsche 928 beach buggy that went surfing","https://newsroom.porsche.com/en/2024/scene-passion/porsche-928-surfari-poland-36772.html","Porsche and the surfing lifestyle are a perfect partnership. For proof of this, one need look no further than the 928 Surfari."
"Products","25/07/2024","Porsche plans a trio of powertrains for the Cayenne into the next decade","https://newsroom.porsche.com/en/2024/products/porsche-cayenne-drivetrain-product-strategy-36924.html","The fourth generation of the Porsche Cayenne will be all-electric. A test programme for the prototypes is underway."
"Company","24/07/2024","Porsche posts strong second quarter with a 17% return on sales and a robust first six months","https://newsroom.porsche.com/en/2024/company/porsche-second-quarter-half-year-profit-sales-revenue-36915.html","Porsche AG achieved stronger results in the second quarter of 2024 than in the previous quarter."
"Motorsports","23/07/2024","Formula E World Champion and Porsche works driver Pascal Wehrlein in profile","https://newsroom.porsche.com/en/2024/motorsports/porsche-works-driver-pascal-wehrlein-abb-fia-formula-e-world-champion-2024-profile-36906.html","Rarely has an athlete remained as cool under pressure as the new Formula E World Champion Pascal Wehrlein."
"History","22/07/2024","New at the Porsche Museum: an escape game with a variety of puzzles","https://newsroom.porsche.com/en/2024/history/porsche-museum-escape-game-36877.html","The objective of the escape game at the Porsche Museum is to protect the cultural and technical heritage of the brand."
"Motorsports","21/07/2024","Porsche driver Pascal Wehrlein wins Formula E World Championship","https://newsroom.porsche.com/en/2024/motorsports/porsche-99x-electric-gen3-abb-fia-formula-e-world-championship-2024-race-15-and-16-london-great-britain-36824.html","Pascal Wehrlein from the TAG Heuer Porsche Formula E Team has been crowned the new Formula E World Champion."
"Motorsports","21/07/2024","Harry King celebrates first win of the Porsche Mobil 1 Supercup season","https://newsroom.porsche.com/en/2024/motorsports/porsche-mobil-1-supercup-pmsc-race-5-budapest-36853.html","A commanding lights-to-flag victory for Harry King in the fifth round of the Porsche Mobil 1 Supercup at the Hungaroring."
"Company","20/07/2024","Alexander Pollich takes over the CEO role at Porsche China","https://newsroom.porsche.com/en/2024/company/porsche-china-alexander-pollich-president-and-ceo-36880.html","On 1 September, Alexander Pollich is moving to the position of President and CEO Porsche China, Hong Kong and Macao."
"Innovation","19/07/2024","System Integration with the new Porsche Cayenne","https://newsroom.porsche.com/en/2024/innovation/porsche-engineering-cayenne-integration-software-36784.html","The optimal integration of software into the vehicle is decisive in determining performance and customer experience."
"Products","18/07/2024","Sporty and luxurious: the new, top Panamera models","https://newsroom.porsche.com/en/2024/products/porsche-panamera-turbo-s-e-hybrid-and-panamera-gts-36864.html","Porsche is launching the dynamic top series models with the Panamera Turbo S E-Hybrid and the Panamera GTS."
"Products","16/07/2024","Porsche doubles the size of the model range for the all-electric Macan","https://newsroom.porsche.com/en/2024/products/porsche-macan-electric-and-macan-4s-electric-36836.html","The new Porsche Macan with rear-wheel drive is available as the new point of entry to the all-electric SUV model series."
"Products","15/07/2024","New Panamera sets a record time on the Nürburgring Nordschleife","https://newsroom.porsche.com/en/2024/products/porsche-panamera-record-nuerburgring-nordschleife-36813.html","The new Panamera top model has made its mark on the Nürburgring Nordschleife."
"Products","15/07/2024","New 911 takes centre stage at Goodwood Festival of Speed","https://newsroom.porsche.com/en/2024/products/porsche-911-goodwood-festival-of-speed-36810.html","A feast for car enthusiasts: Porsche has once again provided highlights at the Goodwood Festival of Speed 2024."